지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
98,동두천,2015-01-01,-8.1,-10.8,655,-2.8,1442,,,,,,,10.3,320,1018,7.0,320,1043,3.4,2948,320,-19.1,30,1400,41.6,1.4,1010.0,1026.4,2200,1022.1,5,1024.3,9.6,8.6,,,,,,,,,,,-4.2,-11.1,,,,,,,,,,,,,,
98,동두천,2015-01-02,-7.0,-11.8,757,-0.6,1428,,,,,,,13.1,320,1230,7.8,320,1236,2.4,2080,320,-16.4,27,1428,49.4,1.7,1011.3,1027.6,2201,1023.3,1327,1025.5,9.6,8.4,,,,,,,,,,,-4.3,-12.3,,,,,,,,,,,,,,
98,동두천,2015-01-03,-4.0,-13.0,755,3.2,1511,,,,,,,5.6,250,1604,3.3,250,1608,1.3,1151,160,-11.5,34,1454,57.8,2.7,1009.4,1027.7,13,1018.7,2354,1023.4,9.6,7.7,,,,,,,,,,,-3.6,-13.5,,,,,,,,,,,,,,
98,동두천,2015-01-04,1.3,-2.6,2346,7.2,1436,,,,,,,4.1,180,706,2.2,230,532,0.9,811,230,-3.0,57,1511,73.9,4.9,1004.5,1020.2,2130,1016.5,611,1018.2,9.6,3.0,,,,,,,,,,,0.3,-4.4,,,,,,,,,,,,,,
98,동두천,2015-01-05,1.3,-5.4,351,8.7,1411,,,,,,0.8,5.8,360,2306,3.4,160,1612,1.0,902,230,-3.0,43,1456,75.6,4.9,1003.2,1022.1,348,1011.1,2334,1016.8,9.6,3.2,,,,,,,,,,,-0.4,-5.9,,,,,,,,,,,,,,
98,동두천,2015-01-06,-3.5,-8.2,2234,1.2,1,,,,,,2.1,10.2,320,648,7.0,320,1148,3.8,3289,320,-11.9,32,1606,54.4,2.8,1003.1,1022.1,2236,1010.6,410,1016.9,9.7,8.7,,,,,,,,,,,-0.2,-8.4,,,,,,,,,,,,,,
98,동두천,2015-01-07,-6.3,-10.0,556,-0.7,1444,,,,,,,5.1,360,22,3.3,360,28,1.4,1212,20,-18.1,25,1413,39.6,1.5,1008.6,1025.0,2343,1021.1,426,1022.8,9.7,8.8,,,,,,,,,,,-4.0,-10.9,,,,,,,,,,,,,,
98,동두천,2015-01-08,-6.9,-12.9,732,0.8,1452,,,,,,,6.5,250,1602,4.0,270,1649,1.2,1002,360,-16.1,24,1458,51.1,1.8,1011.9,1028.1,941,1024.5,1409,1026.1,9.7,8.8,,,,,,,,,,,-4.5,-13.0,,,,,,,,,,,,,,
98,동두천,2015-01-09,-4.0,-10.8,718,4.0,1347,,,,,,,6.6,250,1650,4.7,250,1655,1.1,992,250,-10.8,32,1351,62.3,2.7,1011.0,1027.1,239,1022.9,1428,1025.1,9.7,8.6,,,,,,,,,,,-3.8,-11.8,,,,,,,,,,,,,,
98,동두천,2015-01-10,-2.0,-9.4,621,5.9,1425,,,,,,,9.2,250,1433,5.7,270,1440,1.4,1225,250,-8.4,31,1305,64.0,3.3,1009.4,1025.9,901,1020.3,2352,1023.3,9.7,8.4,,,,,,,,,,,-2.4,-11.0,,,,,,,,,,,,,,
98,동두천,2015-01-11,-0.4,-4.6,2347,4.3,1451,,,,,,,9.3,320,1909,6.5,320,1910,2.9,2512,320,-8.9,32,1528,54.8,3.3,1010.0,1030.0,2323,1017.9,455,1023.8,9.7,8.6,,,,,,,,,,,0.2,-6.7,,,,,,,,,,,,,,
98,동두천,2015-01-12,-4.0,-10.2,812,3.8,1453,,,,,,,4.8,270,1404,3.2,320,2,1.2,1016,20,-15.2,20,1454,43.5,1.9,1020.7,1036.6,2139,1029.9,16,1034.9,9.8,9.1,,,,,,,,,,,-3.0,-11.1,,,,,,,,,,,,,,
98,동두천,2015-01-13,-3.1,-9.7,755,6.3,1523,,,,,,,4.2,360,1714,2.5,360,1718,1.1,952,20,-11.8,21,1518,54.5,2.5,1020.2,1037.1,304,1031.7,2346,1034.3,9.8,4.6,,,,,,,,,,,-2.7,-10.5,,,,,,,,,,,,,,
98,동두천,2015-01-14,0.4,-3.6,511,5.6,1350,,,,,,,6.0,360,1514,3.1,360,1434,1.0,896,20,-10.1,24,1604,47.4,2.9,1013.1,1031.9,42,1023.0,2359,1026.9,9.8,0.5,,,,,,,,,,,-0.5,-4.9,,,,,,,,,,,,,,
98,동두천,2015-01-15,1.4,-4.4,642,9.7,1538,,,,,,,5.1,290,1556,3.3,290,1639,1.2,1064,20,-5.5,34,1632,61.4,4.1,1008.4,1023.5,1035,1020.1,1440,1022.1,9.8,6.6,,,,,,,,,,,0.7,-6.4,,,,,,,,,,,,,,
98,동두천,2015-01-16,-0.6,-3.8,358,3.3,1252,,,,,,0.5,10.2,270,1401,7.1,270,1408,2.6,2246,250,-4.9,56,1324,72.9,4.3,1006.0,1022.5,1,1017.0,1505,1019.8,9.9,0.0,,,,,,,,,,,-1.4,-5.2,,,,,,,,,,,,,,
98,동두천,2015-01-17,-4.4,-8.2,702,1.2,1427,,,,,,,9.5,320,12,5.9,320,16,2.8,2457,320,-15.2,28,1527,43.6,1.9,1014.4,1030.8,2157,1021.6,1,1028.5,9.9,9.3,,,,,,,,,,,-2.7,-9.7,,,,,,,,,,,,,,
98,동두천,2015-01-18,-3.0,-10.3,503,3.8,1301,,,,,,6.2,7.6,160,1637,4.3,180,1343,1.9,1681,160,-8.2,39,1234,68.1,3.5,1007.9,1030.1,240,1014.9,2052,1021.8,9.9,2.0,,,,,,,,,,,-2.5,-11.3,,,,,,,,,,,,,,
98,동두천,2015-01-19,-0.9,-7.0,2336,3.3,1218,,,,,,0.0,8.3,270,1537,5.6,270,1541,2.3,1975,230,-5.2,49,1651,73.4,4.2,1008.8,1028.0,2255,1015.4,20,1022.6,9.9,8.2,,,,,,,,,,,-0.2,-8.6,,,,,,,,,,,,,,
