지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
201,강화,2015-01-01,-7.5,-9.3,743,-4.6,1423,,,,,,,12.3,250,1406,6.4,230,1303,2.8,2391,230,-17.0,36,1236,47.0,1.6,1019.1,1027.0,1948,1023.4,58,1025.3,9.6,8.6,,,,,,,,,,,-3.4,-13.4,,,,,,,,,,,,,,
201,강화,2015-01-02,-6.5,-10.8,607,-1.8,1421,,,,,,,10.5,250,1315,5.1,290,1540,1.9,1607,290,-14.7,30,1425,54.3,2.0,1020.2,1028.4,2106,1024.3,647,1026.3,9.6,8.1,,,,,,,,,,,-2.8,-14.3,,,,,,,,,,,,,,
201,강화,2015-01-03,-3.7,-11.9,747,2.1,1405,,,,,,,4.7,140,1506,2.9,160,1510,1.1,973,70,-8.9,49,1145,67.5,3.3,1017.6,1028.2,217,1019.1,2348,1023.7,9.6,7.3,,,,,,,,,,,-2.1,-15.8,,,,,,,,,,,,,,
201,강화,2015-01-04,1.9,-2.4,2236,7.7,1355,,,,,,,6.8,50,1005,2.2,20,215,1.3,1140,,-1.4,60,1449,79.4,5.5,1012.4,1020.2,2116,1016.6,506,1018.3,9.6,3.8,,,,,,,,,,,0.7,-8.7,,,,,,,,,,,,,,
201,강화,2015-01-05,2.2,-3.1,224,8.1,1527,,,,,,0.4,7.0,20,621,2.7,70,1149,1.1,946,70,-0.9,50,1536,81.3,5.7,1011.2,1022.0,325,1011.8,2400,1017.1,9.7,3.2,,,,,,,,,,,0.3,-9.1,,,,,,,,,,,,,,
201,강화,2015-01-06,-3.9,-6.8,2136,2.3,134,,,,,,1.5,11.8,340,1538,5.6,320,1406,2.9,2515,230,-12.9,31,1418,51.6,2.5,1012.2,1022.8,2219,1011.7,46,1018.2,9.7,8.6,,,,,,,,,,,-0.7,-10.7,,,,,,,,,,,,,,
201,강화,2015-01-07,-5.1,-7.4,744,-2.1,1354,,,,,,,8.4,20,1115,4.2,340,1140,2.3,1974,320,-18.0,29,1217,35.9,1.5,1017.4,1025.6,2346,1022.0,443,1023.5,9.7,8.5,,,,,,,,,,,-2.7,-11.2,,,,,,,,,,,,,,
201,강화,2015-01-08,-6.0,-11.6,627,-1.1,1441,,,,,,,5.5,230,1503,3.6,230,1511,1.2,1036,20,-13.2,33,1408,58.5,2.2,1020.5,1028.4,917,1025.4,4,1026.7,9.7,8.6,,,,,,,,,,,-3.0,-16.0,,,,,,,,,,,,,,
201,강화,2015-01-09,-3.1,-9.3,532,2.8,1424,,,,,,,7.1,50,944,3.9,230,1444,1.5,1338,230,-8.8,40,2152,66.3,3.2,1019.6,1027.3,238,1023.8,1531,1025.6,9.7,8.4,,,,,,,,,,,-2.2,-14.4,,,,,,,,,,,,,,
201,강화,2015-01-10,-0.9,-9.1,711,4.3,1427,,,,,,,8.9,250,2025,4.5,230,1314,1.9,1678,250,-6.3,39,1153,68.5,4.0,1017.7,1025.9,253,1020.4,2357,1023.6,9.7,8.5,,,,,,,,,,,-1.7,-13.9,,,,,,,,,,,,,,
