지점 번호,지점명,일시,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),강수 계속시간(hr),10분 최다강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),일기현상,안개 계속 시간(hr)
133,대전,2017-01-01,3.5,-1.3,734,10.7,1442,,,,,,,4.8,200,1542,3.1,180,1554,0.7,638,290.0,0.3,54,1436,81.5,6.3,1020.0,1031.8,1006,1025.4,2206,1028.6,9.7,5.8,1200.0,1.69,9.43,,,,,,5.4,3.6,3.3,-6.8,3.3,2.0,2.8,3.3,5.3,8.2,11.1,16.0,18.2,1.0,1.4,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도1}0900-1140. {연무}1135-1150. {연무}1810-2015. {박무}2010-{박무}{강도0}2100-{박무}{강도0}2400-,
133,대전,2017-01-02,4.7,-0.4,424,10.8,1425,,,,,,,7.7,180,1422,5.2,180,1357,1.5,1328,180.0,1.9,62,1413,83.0,7.1,1014.9,1025.9,1,1021.3,1427,1023.5,9.8,4.5,1300.0,1.56,7.77,,,,,,6.5,6.5,3.4,-5.1,4.1,3.8,3.9,4.2,5.5,8.0,10.9,16.0,18.1,1.0,1.5,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1155. {연무}1630-1750. {박무}1745-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도2}2400-,
133,대전,2017-01-03,3.3,-1.5,756,9.2,1455,,,,,,,6.2,180,1509,3.9,180,1548,1.4,1182,200.0,-0.7,45,1437,77.1,5.8,1016.3,1026.7,848,1023.3,1611,1024.9,9.8,8.1,1200.0,1.94,10.69,,,,,,0.3,0.3,3.0,-8.3,3.9,3.5,3.9,4.5,5.9,8.0,10.8,15.8,18.1,1.3,1.9,,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도2}0900-1110. {연무}1105-{연무}{강도0}1200-1350. {연무}1550-{연무}{강도0}1800-{연무}{강도0}2100-2140. {박무}2135-{박무}{강도1}2400-,
133,대전,2017-01-04,4.2,-0.2,230,10.7,1528,,,,,,,4.2,180,1257,2.4,320,1611,1.0,867,20.0,-1.2,35,1516,70.5,5.7,1015.9,1025.9,1033,1022.6,1507,1024.5,9.8,5.8,1200.0,1.74,8.59,,,,,,4.4,2.6,3.1,-6.0,4.1,3.8,4.0,4.6,5.9,8.1,10.7,15.8,18.1,1.2,1.7,,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1240. {연무}1235-1415. {연무}1555-{연무}{강도0}1800-2015. {연무}2355-{연무}{강도0}2400-,
133,대전,2017-01-05,4.3,-0.7,507,9.3,1420,,,,,,,8.0,140,1447,5.6,110,1804,1.9,1664,110.0,-0.6,58,1404,71.3,5.9,1018.3,1028.9,2217,1025.5,1415,1027.0,9.8,0.0,1300.0,0.94,5.41,,,,,,8.3,2.8,2.9,-4.7,3.9,3.7,3.9,4.6,6.0,8.1,10.6,15.7,18.1,1.1,1.6,,-{연무}-0105. {박무}0535-{박무}{강도0}0600-{박무}{강도0}0900-1110. {연무}1105-{연무}{강도0}1200-1215. {햇무리}0850-1340.,
133,대전,2017-01-06,6.7,2.6,2354,12.0,1453,,,,,,,7.8,110,49,4.7,140,1040,2.2,1878,110.0,0.6,47,1420,66.0,6.4,1018.2,1029.1,929,1024.7,1637,1026.8,9.8,8.2,1200.0,1.88,10.66,,,,,,3.1,2.5,5.4,-3.1,5.4,5.1,5.2,5.4,6.1,8.1,10.5,15.6,18.0,1.6,2.4,,,
133,대전,2017-01-07,4.3,-1.5,742,9.2,1421,,,,,,,3.2,110,1317,2.0,110,1313,0.8,671,20.0,-0.1,56,1340,74.8,6.1,1013.0,1025.4,2,1018.4,1921,1021.6,9.8,4.2,1200.0,1.92,8.22,,,,,,5.8,3.5,3.3,-7.3,4.5,4.1,4.5,5.2,6.4,8.1,10.4,15.5,18.0,1.0,1.4,,{박무}0605-{박무}{강도0}0900-0945. {연무}1830-1910.,
133,대전,2017-01-08,8.8,5.0,637,14.8,1458,,,,,1.08,0.0,6.2,320,1743,3.5,140,1200,1.3,1143,320.0,2.1,43,1450,64.8,7.1,1005.8,1019.1,1,1011.2,1457,1014.1,9.8,5.6,1200.0,2.16,10.58,,,,,,8.1,7.0,8.2,3.0,6.8,6.4,6.3,6.1,6.5,8.2,10.4,15.4,18.0,1.9,2.8,0.0,{비}1840-1945.,
133,대전,2017-01-09,4.3,-0.9,2357,8.0,1358,,,,,2.25,0.0,8.0,320,1429,4.4,320,1241,2.3,2028,320.0,-2.6,39,1455,62.3,5.1,1009.2,1021.2,2351,1013.5,8,1017.7,9.9,6.4,1300.0,1.63,8.35,,,,,,4.5,4.3,4.8,-6.8,6.3,6.1,6.4,6.9,7.1,8.3,10.4,15.3,17.9,1.3,1.8,0.0,{비}0015-0040. {비}0130-0250. {박무}0120-{박무}{강도0}0300-0450. {연무}0445-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1230. {비}0840-{비}{강도0}0900-0910.,
133,대전,2017-01-10,-0.5,-3.2,2358,4.2,1330,,,,,,,8.6,290,1439,3.9,320,1439,1.9,1633,320.0,-6.8,46,1224,63.1,3.7,1015.6,1027.4,2350,1021.2,1,1024.4,9.9,6.1,1100.0,1.84,8.92,,,,,,3.1,3.1,0.2,-8.1,3.2,2.8,3.7,5.1,7.1,8.5,10.3,15.3,17.9,1.1,1.6,,,
133,대전,2017-01-11,-3.1,-7.8,633,2.5,1309,,,,,0.67,0.0,6.8,320,124,3.9,200,1642,1.7,1437,200.0,-9.6,29,1103,62.5,3.1,1017.6,1029.4,702,1023.9,1854,1026.4,9.9,6.1,1200.0,2.09,9.66,,,,,,2.1,2.1,-2.1,-13.1,1.3,1.2,2.2,3.8,6.5,8.5,10.3,15.2,17.8,1.0,1.4,0.0,{눈}1450-{눈}{강도0}1500-1510. {눈}1555-1615. {박무}2310-{박무}{강도0}2400-,
133,대전,2017-01-12,-0.3,-4.0,2358,5.7,1123,,,,,1.92,0.0,9.5,290,1227,5.5,320,1205,1.9,1674,320.0,-5.3,48,1104,69.6,4.2,1010.3,1024.1,1,1016.6,1445,1019.0,9.9,3.3,1000.0,1.33,5.74,,,,,,3.9,3.5,-0.8,-9.8,1.2,0.9,1.7,3.0,5.8,8.3,10.3,15.1,17.8,0.8,1.1,0.0,-{박무}-0050. {연무}1150-{연무}{강도0}1200-{연무}{강도0}1500-1515. {박무}1510-1659. {연무}1655-1730. {진눈깨비}1155-{진눈깨비}{강도0}1200-{눈}1230-1255. {진눈깨비}1440-{진눈깨비}{강도0}1500-1530. {진눈깨비}1635-1640.,
133,대전,2017-01-13,-3.7,-7.3,743,0.5,1557,,,,,2.5,0.6,9.1,290,1643,4.4,320,1625,1.8,1534,320.0,-8.7,50,1608,68.0,3.2,1009.3,1021.5,2327,1014.4,1233,1018.1,9.9,5.4,1500.0,1.34,6.66,,,,,,4.1,4.1,-2.5,-11.7,0.5,0.5,1.2,2.6,5.4,8.0,10.3,15.0,17.8,0.7,1.0,0.6,{눈}1120-{눈}{강도0}1200-1350. {박무}1205-1420.,
133,대전,2017-01-14,-6.0,-8.7,2400,-2.8,1403,,,,,5.67,0.0,11.0,290,1112,5.9,320,1506,2.5,2132,340.0,-15.5,24,1315,50.3,1.9,1017.1,1029.2,2357,1021.4,6,1026.1,9.9,8.5,1200.0,2.28,13.18,0.1,655.0,0.1,655.0,0.1,2.8,2.8,-2.4,-11.5,0.2,0.1,0.8,2.2,4.9,7.7,10.2,15.0,17.7,1.5,2.1,,{소낙눈}0055-{소낙눈}{강도0}0300-0435. {소낙눈}0550-{소낙눈}{강도0}0600-0750. {박무}0130-0215. {박무}0705-0735.,
133,대전,2017-01-15,-5.9,-11.8,734,1.0,1537,,,,,,,6.8,340,1330,3.9,320,1336,1.3,1144,320.0,-15.3,30,1543,48.9,1.9,1019.8,1031.3,744,1026.7,1441,1028.8,10.0,9.1,1200.0,2.27,13.47,,,,,,0.0,0.0,-3.7,-15.8,-0.5,-0.9,0.1,1.6,4.5,7.4,10.0,14.9,17.7,1.4,1.9,,,
133,대전,2017-01-16,-3.9,-10.1,740,3.7,1457,,,,,,,4.2,20,1555,2.2,290,1523,1.0,823,290.0,-12.8,21,1629,54.5,2.3,1020.9,1031.8,2222,1027.5,7,1029.9,10.0,9.1,1200.0,2.22,13.58,,,,,,0.1,0.0,-2.8,-15.3,-0.6,-1.1,-0.2,1.2,4.1,7.2,9.9,14.8,17.7,1.5,2.1,,,
133,대전,2017-01-17,-2.9,-8.6,515,4.3,1629,,,,,,,3.1,340,1613,1.6,290,734,0.7,619,360.0,-10.7,31,1547,56.8,2.7,1023.2,1033.4,1003,1030.3,1648,1032.1,10.0,4.2,1300.0,1.43,8.45,,,,,,2.6,0.6,-2.5,-13.2,-0.6,-1.0,-0.2,1.0,3.9,6.9,9.8,14.7,17.6,0.9,1.3,,,
133,대전,2017-01-18,-0.4,-4.7,742,4.1,1500,,,,,,,3.0,160,1308,1.8,290,216,0.7,591,320.0,-6.0,51,1440,66.3,3.9,1022.1,1033.4,241,1029.2,1358,1031.0,10.0,2.1,1100.0,1.04,5.97,,,,,,7.1,5.6,-1.2,-9.7,-0.2,-0.5,-0.1,1.1,3.7,6.7,9.6,14.7,17.6,0.6,0.9,,{연무}1215-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도1}2100-2320. {박무}2315-{박무}{강도1}2400-,
133,대전,2017-01-19,0.0,-3.7,424,5.9,1513,,,,,,,4.1,320,1254,2.3,340,1301,0.9,767,320.0,-5.3,38,1514,70.8,4.2,1015.3,1029.5,1,1019.5,2357,1024.1,10.1,6.4,1300.0,2.03,10.6,,,,,,5.5,5.1,0.4,-10.1,0.0,-0.2,0.1,1.0,3.6,6.5,9.4,14.6,17.5,1.1,1.6,3.3,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{시정(미만)}{1km}{안개}0745-{시정(미만)}{0.5km}{안개}0755-{시정(미만)}{0.2km}{안개}0815-{시정(이상)}{0.2km}{안개}0855-{안개}{강도1}0900-{시정(이상)}{0.5km}{안개}0920-{시정(이상)}{1km}{박무}1010-{박무}{강도1}1200-1220. {연무}1215-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400- {채운}1555-1605.,2.42
133,대전,2017-01-20,-2.3,-5.2,2226,-0.5,1526,,,,,8.65,3.4,11.0,290,742,5.8,340,746,1.9,1641,320.0,-5.8,57,1533,77.4,4.0,1013.8,1030.1,2348,1014.4,606,1022.6,10.1,3.5,1100.0,1.12,5.61,4.6,955.0,4.6,955.0,4.6,7.9,7.3,-0.6,-13.1,0.1,0.0,0.3,1.2,3.5,6.4,9.3,14.5,17.5,0.7,0.9,0.1,-{연무}-0245. {박무}0235-{박무}{강도2}0300-{박무}{강도2}0600-{박무}{강도2}0900-1140. {눈}0220-{시정(미만)}{1km}{눈}0245-{시정(미만)}{0.5km}{눈}0250-{눈}{강도1}0300-{시정(이상)}{0.5km}{눈}0320-{시정(이상)}{1km}{눈}0450-0510. {눈}0601-{시정(미만)}{1km}{눈}0625-{시정(미만)}{0.5km}{눈}0630-{시정(이상)}{0.5km}{눈}0645-{시정(이상)}{1km}{눈}0650-{눈}{강도0}0900-1150.,
133,대전,2017-01-21,-2.7,-8.6,647,2.4,1432,,,,,6.42,1.2,7.4,200,1451,3.6,180,1454,1.3,1110,200.0,-5.6,57,1438,81.3,4.1,1018.6,1031.2,741,1023.6,2247,1027.5,10.1,4.2,1400.0,1.86,9.84,3.5,2355.0,4.0,2355.0,3.5,6.5,6.4,-0.9,-15.0,0.2,0.0,0.4,1.2,3.4,6.3,9.1,14.4,17.5,0.8,1.2,1.7,{눈}1150-{눈}{강도0}1200-1240. {눈}1610-{눈}{강도0}1800-1840. {눈}2055-{눈}{강도0}2100-{시정(미만)}{1km}{눈}2135-{시정(미만)}{0.5km}{눈}2140-{시정(이상)}{0.5km}{눈}2155-{시정(이상)}{1km}{눈}2205-{시정(미만)}{1km}{눈}2255-{시정(이상)}{1km}{눈}2315-{눈}{강도0}2400- {박무}1650-{박무}{강도0}1800-1850. {박무}2050-{박무}{강도0}2100-{박무}{강도0}2400-,
