date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 시각(hhmi),최저 해면기압 시각(hhmi),최대 순간풍속 풍향(16방위),풍정합(100m),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1332.3548387096773,1297.8387096774193,279.67741935483866,2415.387096774193,17644,1,0,0,0,1,0,0,0
201102,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,1485.357142857143,1382.5,230.7142857142857,2210.25,35708,1,0,0,0,1,0,0,0
201112,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1342.3225806451612,1271.483870967742,233.2258064516129,2258.6451612903224,21267,1,0,0,0,1,0,0,0
201201,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,1454.0,1265.9354838709678,262.5806451612903,2186.7096774193546,17458,1,0,0,0,1,0,0,0
201202,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1334.9310344827584,1341.5517241379312,255.5172413793104,2468.4137931034484,20267,1,0,0,0,1,0,0,0
201212,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,1127.967741935484,1055.548387096774,238.38709677419362,2353.451612903226,15722,1,0,0,0,1,0,0,0
201301,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,1317.3225806451612,1152.0,215.4838709677419,2308.903225806452,17562,1,0,0,0,1,0,0,0
201302,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,1250.4642857142858,1192.5357142857142,241.07142857142856,2494.428571428572,20990,1,0,0,0,1,0,0,0
201312,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,1346.9032258064515,1006.741935483871,245.4838709677419,2064.2580645161293,20035,1,0,0,0,1,0,0,0
201401,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,1436.6129032258066,1315.7096774193546,258.06451612903226,2095.0967741935488,21712,1,0,0,0,1,0,0,0
201402,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1402.2142857142858,1236.142857142857,182.5,2330.142857142857,36721,1,0,0,0,1,0,0,0
201412,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1279.1290322580646,1188.6451612903227,226.45161290322585,2461.2258064516127,19473,1,0,0,0,1,0,0,0
