date,평균 기온(°C),최다 풍향(16방위),일강수량(mm),합계 일조 시간(hr),9-9강수(mm),평균 전운량(10분위),합계 소형증발량(mm),최저 해면기압 시각(hhmi),최저 기온 시각(hhmi),열지수,평균 10cm 지중온도(°C),평균 상대습도(%),최대 순간풍속 시각(hhmi),최소 상대습도(%),풍정합(100m),최고 기온 시각(hhmi),평균 20cm 지중온도(°C),합계 일사량(MJ/m2),target,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,21.97666666666667,202.0,20.225,5.6933333333333325,20.21052631578948,6.126666666666666,4.206666666666666,1273.8666666666666,676.2,65,24.15666666666667,66.56,1395.1,46.23333333333333,2525.433333333333,1383.0,23.52,16.424,252185,0,0,1,0
201107,24.638709677419357,151.61290322580646,49.17391304347826,2.593548387096774,45.26,7.987096774193549,2.583870967741936,1307.9354838709678,912.0,68,25.90967741935484,78.78709677419354,1317.7096774193546,62.41935483870968,2087.7096774193546,1307.6451612903227,25.53225806451612,11.042903225806453,275074,0,0,0,1
201108,25.77419354838709,144.19354838709674,8.34,3.032258064516129,8.75263157894737,7.458064516129035,3.3709677419354844,1301.7096774193546,876.8709677419354,70,26.77419354838709,74.33548387096774,1407.4193548387098,56.29032258064516,2181.2903225806454,1418.2580645161293,26.399999999999995,12.222903225806453,386264,0,0,0,1
201206,24.139999999999993,186.33333333333331,15.316666666666668,7.733333333333332,15.316666666666668,5.416666666666666,7.643333333333333,1462.4,685.5333333333333,69,27.550000000000004,54.08666666666666,1413.2666666666669,33.0,2424.0,1397.0666666666666,26.76666666666667,17.815333333333335,224854,0,0,0,1
201207,25.41290322580645,191.29032258064515,21.37619047619048,4.645161290322581,22.445,7.351612903225808,4.154838709677419,1056.451612903226,756.258064516129,70,26.32903225806451,73.83225806451615,1187.8387096774193,55.935483870967744,2354.7096774193546,1438.483870967742,25.9,12.101290322580645,193169,0,0,0,1
201208,27.13225806451612,124.83870967741936,25.827777777777786,5.119354838709677,24.46842105263158,6.7548387096774185,5.361290322580643,1338.967741935484,801.258064516129,73,27.977419354838705,67.95483870967742,1477.8709677419354,51.0,2556.516129032258,1363.741935483871,27.612903225806452,11.704516129032251,202572,0,0,0,1
201306,24.41000000000001,213.0,2.83,7.466666666666666,2.83,5.4433333333333325,5.343333333333332,1343.0,713.8,69,26.07666666666667,60.10999999999998,1491.2,39.7,1927.6333333333328,1443.333333333333,25.4,16.91433333333333,208081,0,0,0,1
201307,25.519354838709678,220.64516129032262,26.00769230769231,3.258064516129032,29.4,8.493548387096777,2.8096774193548386,1296.4193548387098,906.8064516129033,70,25.85483870967743,79.25483870967744,1234.3548387096773,63.54838709677418,2898.6129032258063,1361.2903225806454,25.68064516129032,8.660645161290322,203073,0,0,0,1
201308,27.69677419354839,199.35483870967738,9.906666666666666,7.029032258064516,8.255555555555555,6.222580645161291,4.380645161290324,1268.258064516129,730.516129032258,73,28.11935483870968,69.33870967741936,1438.5806451612902,48.935483870967744,2393.064516129032,1432.8709677419354,27.97741935483871,13.566774193548383,255664,0,0,0,1
201406,23.06333333333333,187.33333333333331,7.007142857142857,6.163333333333332,7.546153846153848,6.6766666666666685,3.746666666666667,1506.3,706.3666666666667,66,24.396666666666665,72.80666666666666,1449.9333333333334,49.06666666666667,2254.0666666666666,1397.7,23.980000000000004,15.513666666666666,270469,0,0,0,1
201407,26.1483870967742,204.83870967741936,17.325,5.570967741935487,15.992307692307696,6.835483870967742,3.693548387096774,1302.6774193548388,789.6774193548387,71,27.28709677419355,74.23548387096773,1495.6129032258066,50.58064516129032,2382.1612903225805,1459.2580645161293,26.84193548387097,14.800999999999998,274596,0,0,0,1
201408,25.164516129032265,117.41935483870968,8.639999999999999,4.861290322580646,8.639999999999999,7.1322580645161295,2.7935483870967746,1163.9032258064515,896.2258064516127,69,25.816129032258054,77.19354838709677,1420.774193548387,57.225806451612904,2116.483870967742,1308.3548387096773,25.835483870967746,11.386451612903226,405225,0,0,0,1
201506,23.586666666666666,204.0,8.25,8.603333333333332,8.291666666666666,5.593333333333333,4.800000000000002,1278.3666666666666,794.2333333333332,68,25.06333333333333,59.80999999999998,1489.1333333333334,35.4,2203.933333333333,1356.9,24.550000000000004,18.283448275862067,155024,0,0,0,1
201507,25.83548387096775,168.06451612903226,14.125,5.680645161290323,13.264705882352946,7.006451612903228,3.335483870967741,1223.225806451613,675.1612903225806,71,26.64482758620689,71.15483870967742,1391.7419354838707,50.38709677419354,2454.1290322580644,1400.032258064516,26.28275862068965,13.821290322580644,140930,0,0,0,1
201508,26.26774193548387,141.29032258064515,4.288235294117648,6.677419354838711,4.050000000000002,5.641935483870969,3.358064516129033,1362.225806451613,769.3225806451613,71,26.65806451612903,69.7741935483871,1450.354838709677,45.96774193548386,2074.548387096774,1416.225806451613,26.55806451612904,14.075161290322573,265302,0,0,0,1
201606,23.59666666666667,214.66666666666663,4.533333333333334,7.656666666666667,4.215384615384616,5.25,4.413333333333332,1376.0666666666666,675.6,68,24.94666666666668,62.86666666666665,1532.6333333333334,41.1,1846.4333333333327,1461.0666666666666,24.446666666666665,16.935666666666666,263435,0,0,0,1
201607,26.235483870967744,187.41935483870967,17.057142857142857,5.174193548387096,19.87777777777778,7.193548387096777,4.322580645161288,1175.4193548387098,661.4193548387096,71,26.374193548387108,72.86129032258064,1294.032258064516,54.064516129032256,1855.967741935484,1424.2903225806451,26.070967741935483,13.000322580645161,220865,0,0,0,1
201608,27.99677419354839,175.4838709677419,4.19375,7.616129032258066,4.792857142857144,4.619354838709677,5.429032258064518,1495.838709677419,836.3225806451613,74,28.725806451612893,63.883870967741935,1572.0,41.67741935483871,1778.9032258064515,1473.2903225806451,28.361290322580647,15.098387096774195,225335,0,0,0,1
201706,23.27333333333333,220.33333333333331,5.123076923076923,9.506666666666666,5.55,4.673333333333333,7.153333333333335,1395.8666666666666,714.7,68,25.036666666666665,56.60333333333333,1579.6333333333334,33.46666666666667,2055.133333333333,1452.6333333333334,24.09666666666667,20.842333333333336,175296,0,0,0,1
201707,26.92258064516129,191.9354838709677,27.0,3.9709677419354836,27.08695652173913,7.887096774193548,3.9580645161290313,1262.741935483871,855.3225806451613,72,27.403225806451612,77.1774193548387,1414.8064516129032,59.67741935483871,1732.0645161290322,1324.0,26.451612903225797,12.10548387096774,184033,0,0,0,1
201708,25.916129032258066,129.67741935483872,15.63157894736842,5.361290322580646,14.75,7.048387096774192,4.487096774193548,1218.0645161290322,884.4193548387095,71,26.97741935483872,70.81935483870967,1313.258064516129,50.838709677419345,1950.483870967742,1413.516129032258,26.174193548387088,13.260967741935485,236717,0,0,0,1
201806,23.13666666666667,226.33333333333331,14.291666666666664,7.886666666666668,17.5,5.873333333333332,6.086666666666669,1259.2666666666667,594.0,67,24.88000000000001,63.03333333333331,1408.966666666667,39.53333333333333,1456.6333333333334,1428.9,24.01,20.086333333333325,279530,0,0,0,1
201807,27.796774193548387,199.03225806451616,18.56,7.616666666666667,15.175,5.10967741935484,5.774193548387097,1436.967741935484,729.3225806451613,74,28.10666666666668,67.45161290322578,1490.967741935484,49.29032258064516,1260.8064516129034,1437.5806451612902,27.14999999999999,18.1,200582,0,0,0,1
201808,28.761290322580656,186.1290322580645,12.6625,7.5,12.6625,5.819354838709677,5.648387096774192,1366.3548387096773,931.4193548387095,75,29.86,64.71935483870966,1417.6774193548388,45.161290322580655,1450.7419354838707,1450.7419354838707,29.06000000000001,16.682580645161288,198930,0,0,0,1
