date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,1,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1.2096774193548387,17.183870967741935,9.906451612903227,8.651612903225809,-4.693548387096771,5.5935483870967735,34551,4.0,1,0,0,0,1,0,0,0
201102,2,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,1.8035714285714288,15.899999999999995,10.803571428571427,7.9071428571428575,1.6964285714285714,5.239285714285715,20934,4.0,1,0,0,0,1,0,0,0
201103,3,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,2.958064516129032,14.67741935483871,11.951612903225806,10.890322580645163,6.361290322580648,6.87741935483871,18641,1.0,0,1,0,0,0,1,0,0
201104,4,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,3.7566666666666673,13.47,13.156666666666665,10.196666666666664,13.56,6.650000000000001,24078,1.0,0,1,0,0,0,1,0,0
201105,5,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,4.3419354838709685,13.241935483870964,14.187096774193545,9.922580645161286,20.964516129032265,6.23548387096774,25593,1.0,0,0,1,0,0,0,1,0
201106,6,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,4.206666666666666,13.466666666666667,14.733333333333338,9.543333333333333,25.81000000000001,6.166666666666669,25607,2.0,0,0,1,0,0,0,1,0
201107,7,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,2.583870967741936,16.038709677419348,14.48064516129032,8.474193548387097,26.477419354838705,5.219354838709679,29552,2.0,0,0,0,1,0,0,0,1
201108,8,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,3.3709677419354844,17.638709677419357,13.6,8.409677419354837,27.5,5.193548387096773,45851,2.0,0,0,0,1,0,0,0,1
201109,9,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,4.829999999999999,18.219999999999995,12.453333333333335,8.656666666666668,25.120000000000005,5.270000000000001,18775,3.0,0,0,1,0,0,0,1,0
201110,10,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,3.758064516129033,18.732258064516124,11.251612903225805,7.541935483870968,15.322580645161288,4.574193548387097,27909,3.0,0,1,0,0,0,0,1,0
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,2.1166666666666663,18.806666666666672,10.196666666666664,8.506666666666666,10.203333333333333,5.413333333333332,27599,3.0,0,1,0,0,0,1,0,0
