date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201101,1,-3.406451612903226,35.12903225806452,-7.183870967741936,53.8290322580645,1.1125,2.7967741935483867,7.048387096774192,1027.3225806451617,17.183870967741935,-16.083870967741934,1.7919354838709667,0.7416666666666667,5.5935483870967735,-10.52258064516129,-1.07741935483871,-3.2612903225806464,234587,4.0,1,0,0,0,1,0,0,0
201102,2,5.864285714285715,32.0,1.2214285714285713,55.228571428571435,9.7,2.5535714285714284,5.9499999999999975,1022.0857142857144,15.899999999999995,-9.564285714285717,1.841785714285714,7.85,5.239285714285715,-2.4607142857142863,0.35000000000000003,0.5785714285714285,171376,4.0,1,0,0,0,1,0,0,0
201103,3,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,1021.3838709677417,14.67741935483871,-5.0064516129032235,2.5412903225806454,1.5375,6.87741935483871,-0.11935483870967745,5.422580645161292,5.216129032258063,260687,1.0,0,1,0,0,0,1,0,0
201104,4,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,1014.1233333333336,13.47,1.1166666666666667,2.4523333333333337,7.346666666666668,6.650000000000001,6.7733333333333325,11.726666666666668,12.206666666666665,56024,1.0,0,1,0,0,0,1,0,0
201105,5,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,1010.735483870968,13.241935483870964,8.935483870967742,2.4022580645161296,5.2785714285714285,6.23548387096774,13.570967741935485,18.174193548387095,19.396774193548385,279310,1.0,0,0,1,0,0,0,1,0
201106,6,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,1006.5333333333336,13.466666666666667,15.436666666666667,2.269666666666666,20.21052631578948,6.166666666666669,18.383333333333333,23.33666666666668,24.34,178302,2.0,0,0,1,0,0,0,1,0
201107,7,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,1005.6645161290324,16.038709677419348,21.50967741935484,1.7670967741935486,45.26,5.219354838709679,21.974193548387085,25.49677419354839,26.045161290322586,34784,2.0,0,0,0,1,0,0,0,1
201108,8,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,1008.283870967742,17.638709677419357,21.412903225806453,1.9512903225806448,8.75263157894737,5.193548387096773,22.967741935483875,26.50967741935484,26.85806451612904,79331,2.0,0,0,0,1,0,0,0,1
201109,9,26.57333333333333,37.3,21.75,58.23666666666666,3.2,2.4400000000000004,6.013333333333334,1012.75,18.219999999999995,13.086666666666668,2.327999999999999,2.327272727272728,5.270000000000001,17.706666666666663,24.59333333333333,24.140000000000004,57239,3.0,0,0,1,0,0,0,1,0
201110,10,19.348387096774193,31.064516129032263,14.222580645161296,54.503225806451596,5.333333333333333,2.1129032258064515,7.176666666666668,1020.3064516129036,18.732258064516124,4.029032258064516,1.9706666666666663,4.571428571428571,4.574193548387097,9.654838709677419,16.60645161290323,15.077419354838712,76839,3.0,0,1,0,0,0,0,1,0
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,1022.6933333333333,18.806666666666672,3.4833333333333334,1.1393333333333333,3.4875,5.413333333333332,7.163333333333335,12.086666666666664,10.706666666666667,112560,3.0,0,1,0,0,0,1,0,0
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1027.6451612903227,18.190322580645173,-9.241935483870966,1.316129032258064,0.6454545454545455,5.141935483870967,-4.109677419354838,3.093548387096774,0.8129032258064521,61115,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,1026.1451612903224,17.14193548387097,-12.493548387096775,1.3987096774193553,0.67,5.3419354838709685,-6.3,-0.1483870967741935,-1.4903225806451612,66605,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1023.996551724138,15.86206896551724,-12.203448275862069,1.895172413793104,0.2,5.641379310344827,-6.020689655172415,-0.3241379310344829,-0.8827586206896549,68784,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1019.5258064516127,14.616129032258069,-2.267741935483872,1.900322580645161,3.3857142857142857,6.532258064516128,1.4838709677419355,5.680645161290323,5.848387096774192,45941,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,1013.0466666666667,13.7,3.8533333333333335,2.165666666666667,15.7,6.94,7.7666666666666675,12.596666666666666,13.38,65663,1.0,0,1,0,0,0,1,0,0
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,1010.9741935483873,13.37333333333333,10.687096774193547,2.430645161290323,0.9111111111111108,5.793548387096774,15.35161290322581,21.71290322580645,22.825806451612905,156643,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,1007.0,13.830000000000002,17.213333333333328,2.489333333333333,15.316666666666668,5.836666666666668,19.956666666666667,27.04333333333333,28.45000000000001,139584,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,1005.6354838709675,15.50666666666667,20.81612903225807,1.8319354838709672,22.445,5.429032258064513,22.387096774193548,26.15806451612903,26.65483870967741,103733,2.0,0,0,0,1,0,0,0,1
