date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201103,8.345161290322581,25.258064516129032,3.6161290322580646,51.11290322580646,2.085714285714286,3.4064516129032265,7.7483870967741915,1021.3838709677417,14.67741935483871,-5.0064516129032235,2.5412903225806454,1.5375,6.87741935483871,-0.11935483870967745,5.422580645161292,5.216129032258063,260687,0,1,0,0,0,1,0,0
201104,15.596666666666666,28.66666666666667,10.719999999999997,54.24,10.009090909090908,3.243333333333333,6.7366666666666655,1014.1233333333336,13.47,1.1166666666666667,2.4523333333333337,7.346666666666668,6.650000000000001,6.7733333333333325,11.726666666666668,12.206666666666665,56024,0,1,0,0,0,1,0,0
201105,22.98387096774193,32.16129032258065,17.925806451612907,56.41612903225806,4.107692307692306,2.832258064516129,5.819354838709677,1010.735483870968,13.241935483870964,8.935483870967742,2.4022580645161296,5.2785714285714285,6.23548387096774,13.570967741935485,18.174193548387095,19.396774193548385,279310,0,0,1,0,0,0,1,0
201203,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1019.5258064516127,14.616129032258069,-2.267741935483872,1.900322580645161,3.3857142857142857,6.532258064516128,1.4838709677419355,5.680645161290323,5.848387096774192,45941,0,1,0,0,0,1,0,0
201204,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,1013.0466666666667,13.7,3.8533333333333335,2.165666666666667,15.7,6.94,7.7666666666666675,12.596666666666666,13.38,65663,0,1,0,0,0,1,0,0
201205,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,1010.9741935483873,13.37333333333333,10.687096774193547,2.430645161290323,0.9111111111111108,5.793548387096774,15.35161290322581,21.71290322580645,22.825806451612905,156643,0,0,1,0,0,0,1,0
201303,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,1017.858064516129,13.874193548387098,-2.674193548387097,2.229032258064516,3.4714285714285715,6.1,0.7193548387096775,5.516129032258063,5.987096774193548,125046,0,1,0,0,0,1,0,0
201304,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,1012.9366666666666,12.986666666666665,2.806666666666666,2.1976666666666658,3.983333333333333,6.920000000000003,5.703333333333332,10.313333333333333,11.123333333333335,85039,0,1,0,0,0,1,0,0
201305,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,1011.5,12.780645161290321,10.516129032258062,2.281935483870968,11.0,5.861290322580645,13.661290322580642,17.90645161290322,19.883870967741935,67969,0,0,1,0,0,0,1,0
201403,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,1019.6225806451613,14.33548387096774,0.2290322580645156,2.048387096774193,0.6,6.441935483870967,3.525806451612904,7.596428571428567,8.225806451612902,54225,0,1,0,0,0,1,0,0
201404,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,1017.0066666666668,13.673333333333336,5.69,2.296666666666668,3.875,6.113333333333332,9.4,14.111538461538462,15.77,61396,0,1,0,0,0,1,0,0
201405,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1010.441935483871,13.635483870967743,10.25483870967742,2.7141935483870983,9.0,6.793548387096774,13.796774193548384,18.98181818181818,21.580645161290327,62447,0,0,1,0,0,0,1,0
201503,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,1021.274193548387,14.445161290322584,-4.496774193548388,2.1922580645161287,2.0166666666666666,6.370967741935482,0.980645161290322,5.929032258064518,6.493548387096777,46487,0,1,0,0,0,1,0,0
201504,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,1015.7966666666667,13.710000000000004,4.7,2.2416666666666667,6.0,6.523333333333335,8.403333333333332,12.190000000000005,14.029999999999998,47290,0,1,0,0,0,1,0,0
201505,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,1009.3774193548387,13.561290322580648,9.738709677419354,2.5029032258064516,3.6125,6.170967741935482,13.574193548387097,18.861290322580643,22.0,67999,0,0,1,0,0,0,1,0
201603,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,1021.5,14.145161290322578,-1.5419354838709671,2.0970967741935485,6.750000000000001,5.10967741935484,2.3548387096774195,6.8741935483870975,7.7,63928,0,1,0,0,0,1,0,0
201604,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,1013.3399999999997,13.283333333333335,5.253333333333333,2.2606666666666664,6.9818181818181815,5.44,9.05,13.540000000000004,15.513333333333335,57556,0,0,1,0,0,0,1,0
201605,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,1011.2774193548387,13.125806451612899,10.829032258064515,2.5900000000000003,14.590909090909092,5.148387096774194,14.141935483870967,18.648387096774194,21.174193548387095,139123,0,0,1,0,0,0,1,0
201703,12.309677419354838,25.12903225806452,6.325806451612903,48.1032258064516,0.9875,2.367741935483872,8.23225806451613,1019.5774193548388,14.403225806451607,-2.706451612903225,2.16,0.9875,5.432258064516129,1.7129032258064516,6.693548387096777,7.12258064516129,83788,0,1,0,0,0,1,0,0
201704,19.95,27.66666666666667,13.933333333333335,52.37333333333334,6.16,2.55,8.656666666666665,1012.8466666666666,13.5,5.23,2.4686666666666666,6.16,5.766666666666665,9.073333333333332,13.163333333333336,14.74666666666667,60072,0,0,1,0,0,1,0,0
201705,25.435483870967737,30.41935483870968,19.490322580645163,52.287096774193536,2.3000000000000003,2.4290322580645163,9.725806451612904,1011.9774193548387,13.296774193548384,10.309677419354838,2.7406451612903218,2.6833333333333336,5.483870967741939,14.361290322580645,18.954838709677414,21.345161290322565,53506,0,0,1,0,0,0,1,0
201803,13.596774193548393,33.67741935483871,8.080645161290322,59.20645161290322,4.95,1.9193548387096784,6.7451612903225815,1020.3419354838707,14.24516129032258,-0.3806451612903223,2.2851612903225806,4.9,4.183870967741936,3.8225806451612905,6.261290322580645,8.080645161290322,68382,0,1,0,0,0,1,0,0
201804,18.51333333333333,29.83333333333333,12.986666666666665,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,1015.6066666666667,13.22,3.2366666666666664,2.4516666666666667,10.858333333333334,4.503333333333333,8.086666666666666,12.363333333333333,13.580000000000005,104744,0,1,0,0,0,1,0,0
201805,23.29032258064517,40.87096774193548,18.167741935483875,63.435483870967744,15.857142857142858,1.7193548387096769,7.470967741935484,1011.2354838709678,12.98387096774194,10.051612903225807,2.5032258064516135,17.076923076923073,4.206451612903226,13.390322580645163,18.064516129032253,19.72258064516129,178227,0,0,1,0,0,0,1,0
201903,12.445161290322584,25.838709677419356,7.0935483870967735,51.303225806451614,2.68,2.0870967741935478,6.574193548387097,1017.1387096774192,13.925806451612903,-2.5935483870967757,2.141290322580645,2.9777777777777783,4.72258064516129,2.7451612903225806,6.8000000000000025,7.1322580645161295,118287,0,1,0,0,0,1,0,0
