일시,서울_종로구_경복궁,서울_종로구_종묘,서울_종로구_창경궁,서울_종로구_창덕궁,서울_중구_남산골한옥마을,서울_중구_덕수궁,서울_중구_서울시립미술관 본관,서울_용산구_국립중앙박물관,서울_노원구_태릉 ·  강릉 · 조선왕릉전시관,서울_서대문구_서대문형무소역사관,서울_마포구_트릭아이미술관,서울_서초구_헌릉ㆍ인릉,서울_강남구_선릉·정릉
2011년 01월,141183,11486,17644,43677,72313,92135,234587,260272,1747,18407,10128,736,13486
2011년 02월,230814,17078,35708,73330,135771,132920,171376,224691,1943,14387,15695,1730,18578
2011년 03월,228276,22238,29856,78705,105735,64869,260687,184565,3000,47554,11468,2085,22696
2011년 04월,349368,30470,70101,129150,176991,85548,56024,240861,8029,66009,11577,5212,43184
2011년 05월,438567,56106,78017,151833,188983,103100,279310,307969,17108,72267,9507,6201,44836
2011년 06월,252185,28144,40319,108262,164051,81489,178302,214570,8912,65633,6916,5840,38306
2011년 07월,275074,25886,31333,91527,132893,81544,34784,331836,3562,22029,18544,2053,22506
2011년 08월,386264,33560,48915,134374,162527,116552,79331,554395,5349,90282,35706,3571,30516
2011년 09월,437683,35330,58076,143467,217701,128343,57239,223776,8680,30466,9325,5548,43319
2011년 10월,518742,45339,97869,222484,204315,137870,76839,263728,16681,56041,8386,7901,44530
2011년 11월,304318,37579,61697,160836,145349,107467,112560,199058,5795,39012,7909,3413,33425
2011년 12월,237330,24223,21267,75991,110986,52140,61115,233828,1885,32412,6956,1823,16634
2012년 01월,114505,5856,17458,31760,105489,40041,66605,229035,904,17410,12797,1236,10750
2012년 02월,169684,5016,20267,37326,98477,36900,68784,161943,796,52249,15243,1273,11893
2012년 03월,233028,21429,27647,50573,115029,40244,45941,154580,1757,20586,12144,2657,20797
2012년 04월,336255,27411,75936,101738,215338,66246,65663,215851,4126,53840,9626,4695,42458
2012년 05월,481103,27823,80267,133635,219653,89515,156643,306757,7100,127886,12307,7436,49540
2012년 06월,224854,16248,47308,76116,182033,69169,139584,230204,5086,76369,10184,6406,36509
2012년 07월,193169,12400,26241,48983,156705,43076,103733,277935,2031,16839,16049,2111,21715
2012년 08월,202572,12345,26882,52876,156150,45103,156966,434529,1714,82241,,1593,17434
2012년 09월,296957,13121,42107,76660,174729,49013,79396,219211,3278,24364,,3848,32681
2012년 10월,520733,21956,125906,144268,206433,143940,147860,265513,19554,35768,12870,7365,
2012년 11월,192476,15881,52830,89575,122411,97241,120222,231618,4841,21556,6319,2561,
2012년 12월,133012,8068,15722,28061,90038,44855,213467,227077,1252,14090,9167,860,
2013년 01월,105724,6996,17562,30490,70114,46980,144778,233169,1290,14838,17191,813,9132
