baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210426,1,월요일,11110,종로구,1,현지인(a),150993.5
20210426,1,월요일,11110,종로구,2,외지인(b),285733.0
20210426,1,월요일,11110,종로구,3,외국인(c),135.04676469999998
20210427,2,화요일,11110,종로구,1,현지인(a),151214.0
20210427,2,화요일,11110,종로구,2,외지인(b),297080.0
20210427,2,화요일,11110,종로구,3,외국인(c),141.2017737
20210428,3,수요일,11110,종로구,1,현지인(a),151620.0
20210428,3,수요일,11110,종로구,2,외지인(b),311223.5
20210428,3,수요일,11110,종로구,3,외국인(c),127.5892308
20210429,4,목요일,11110,종로구,1,현지인(a),150521.0
20210429,4,목요일,11110,종로구,2,외지인(b),310464.0
20210429,4,목요일,11110,종로구,3,외국인(c),146.1640592
20210430,5,금요일,11110,종로구,1,현지인(a),149838.5
20210430,5,금요일,11110,종로구,2,외지인(b),322378.0
20210430,5,금요일,11110,종로구,3,외국인(c),144.334527
20210501,6,토요일,11110,종로구,1,현지인(a),103586.0
20210501,6,토요일,11110,종로구,2,외지인(b),290087.0
20210501,6,토요일,11110,종로구,3,외국인(c),168.8427257
20210502,7,일요일,11110,종로구,1,현지인(a),98413.0
20210502,7,일요일,11110,종로구,2,외지인(b),285967.5
20210502,7,일요일,11110,종로구,3,외국인(c),156.0414983
20210503,1,월요일,11110,종로구,1,현지인(a),173117.0
20210503,1,월요일,11110,종로구,2,외지인(b),289782.5
20210503,1,월요일,11110,종로구,3,외국인(c),160.27667230000003
20210504,2,화요일,11110,종로구,1,현지인(a),165403.0
20210504,2,화요일,11110,종로구,2,외지인(b),271341.0
20210504,2,화요일,11110,종로구,3,외국인(c),170.5564776
20210505,3,수요일,11110,종로구,1,현지인(a),111947.5
20210505,3,수요일,11110,종로구,2,외지인(b),333865.0
20210505,3,수요일,11110,종로구,3,외국인(c),163.1398289
20210506,4,목요일,11110,종로구,1,현지인(a),173404.0
20210506,4,목요일,11110,종로구,2,외지인(b),306022.5
20210506,4,목요일,11110,종로구,3,외국인(c),158.39159030000002
20210507,5,금요일,11110,종로구,1,현지인(a),167422.5
20210507,5,금요일,11110,종로구,2,외지인(b),298441.5
20210507,5,금요일,11110,종로구,3,외국인(c),166.8128709
20210508,6,토요일,11110,종로구,1,현지인(a),105696.5
20210508,6,토요일,11110,종로구,2,외지인(b),282383.5
20210508,6,토요일,11110,종로구,3,외국인(c),159.95604419999998
20210509,7,일요일,11110,종로구,1,현지인(a),97482.0
20210509,7,일요일,11110,종로구,2,외지인(b),276486.0
20210509,7,일요일,11110,종로구,3,외국인(c),162.7250903
20210510,1,월요일,11110,종로구,1,현지인(a),170016.0
20210510,1,월요일,11110,종로구,2,외지인(b),261887.5
20210510,1,월요일,11110,종로구,3,외국인(c),163.8388382
20210511,2,화요일,11110,종로구,1,현지인(a),177502.5
20210511,2,화요일,11110,종로구,2,외지인(b),315052.5
20210511,2,화요일,11110,종로구,3,외국인(c),176.26342
20210512,3,수요일,11110,종로구,1,현지인(a),177481.5
20210512,3,수요일,11110,종로구,2,외지인(b),321391.0
20210512,3,수요일,11110,종로구,3,외국인(c),185.674887
20210513,4,목요일,11110,종로구,1,현지인(a),176473.5
20210513,4,목요일,11110,종로구,2,외지인(b),317425.5
20210513,4,목요일,11110,종로구,3,외국인(c),185.5335013
20210514,5,금요일,11110,종로구,1,현지인(a),174139.0
20210514,5,금요일,11110,종로구,2,외지인(b),340592.0
20210514,5,금요일,11110,종로구,3,외국인(c),209.66814680000002
20210515,6,토요일,11110,종로구,1,현지인(a),107037.0
20210515,6,토요일,11110,종로구,2,외지인(b),305886.0
20210515,6,토요일,11110,종로구,3,외국인(c),163.35859530000002
20210516,7,일요일,11110,종로구,1,현지인(a),87626.0
20210516,7,일요일,11110,종로구,2,외지인(b),187092.5
20210516,7,일요일,11110,종로구,3,외국인(c),163.2713765
20210517,1,월요일,11110,종로구,1,현지인(a),166761.0
20210517,1,월요일,11110,종로구,2,외지인(b),265009.5
20210517,1,월요일,11110,종로구,3,외국인(c),162.4314214
20210518,2,화요일,11110,종로구,1,현지인(a),175987.0
20210518,2,화요일,11110,종로구,2,외지인(b),345817.5
20210518,2,화요일,11110,종로구,3,외국인(c),176.35414554374486
20210519,3,수요일,11110,종로구,1,현지인(a),115129.0
20210519,3,수요일,11110,종로구,2,외지인(b),373670.5
20210519,3,수요일,11110,종로구,3,외국인(c),179.1254806070826
20210520,4,목요일,11110,종로구,1,현지인(a),168266.0
20210520,4,목요일,11110,종로구,2,외지인(b),289901.5
