baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210426,1,월요일,28260,서구,2,외지인(b),118919.5
20210426,1,월요일,28260,서구,3,외국인(c),139.5326171
20210426,1,월요일,28710,강화군,1,현지인(a),49245
20210426,1,월요일,28710,강화군,2,외지인(b),31563
20210426,1,월요일,28710,강화군,3,외국인(c),53.36782609
20210426,1,월요일,28720,옹진군,1,현지인(a),9306.5
20210426,1,월요일,28720,옹진군,2,외지인(b),12736.5
20210426,1,월요일,28720,옹진군,3,외국인(c),746.5941294
20210426,1,월요일,29110,동구,1,현지인(a),69111
20210426,1,월요일,29110,동구,2,외지인(b),83891.5
20210426,1,월요일,29110,동구,3,외국인(c),27.286
20210426,1,월요일,29140,서구,1,현지인(a),177320.5
20210426,1,월요일,29140,서구,2,외지인(b),109945.5
20210426,1,월요일,29140,서구,3,외국인(c),57.90357357
20210426,1,월요일,29155,남구,1,현지인(a),102403
20210426,1,월요일,29155,남구,2,외지인(b),52636.5
20210426,1,월요일,29155,남구,3,외국인(c),10.325
20210426,1,월요일,29170,북구,1,현지인(a),251730.5
20210426,1,월요일,29170,북구,2,외지인(b),108451
20210426,1,월요일,29170,북구,3,외국인(c),37.05202073
20210426,1,월요일,29200,광산구,1,현지인(a),235459
20210426,1,월요일,29200,광산구,2,외지인(b),103299
20210426,1,월요일,29200,광산구,3,외국인(c),71.25962766
20210426,1,월요일,30110,동구,1,현지인(a),103446
20210426,1,월요일,30110,동구,2,외지인(b),72159.5
20210426,1,월요일,30110,동구,3,외국인(c),55.76665882
20210426,1,월요일,30140,중구,1,현지인(a),120823.5
20210426,1,월요일,30140,중구,2,외지인(b),90030.5
20210426,1,월요일,30140,중구,3,외국인(c),19.8544
20210426,1,월요일,30170,서구,1,현지인(a),253326.5
20210426,1,월요일,30170,서구,2,외지인(b),128971.5
20210426,1,월요일,30170,서구,3,외국인(c),28.88272727
20210426,1,월요일,30200,유성구,1,현지인(a),208022.5
20210426,1,월요일,30200,유성구,2,외지인(b),119427
20210426,1,월요일,30200,유성구,3,외국인(c),65.17456221
20210426,1,월요일,30230,대덕구,1,현지인(a),82859
20210426,1,월요일,30230,대덕구,2,외지인(b),59678.5
20210426,1,월요일,30230,대덕구,3,외국인(c),35.88875
20210426,1,월요일,31110,중구,1,현지인(a),106897
