areaCode,areaNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
11,서울특별시,20210426,1,월요일,1,현지인(a),4478617.5
11,서울특별시,20210426,1,월요일,2,외지인(b),1285672.5
11,서울특별시,20210426,1,월요일,3,외국인(c),3598.703908
26,부산광역시,20210426,1,월요일,1,현지인(a),1324256.5
26,부산광역시,20210426,1,월요일,2,외지인(b),303005.5
26,부산광역시,20210426,1,월요일,3,외국인(c),2224.855993
27,대구광역시,20210426,1,월요일,1,현지인(a),1146299
27,대구광역시,20210426,1,월요일,2,외지인(b),220185
27,대구광역시,20210426,1,월요일,3,외국인(c),243.7115895
28,인천광역시,20210426,1,월요일,1,현지인(a),1193388
28,인천광역시,20210426,1,월요일,2,외지인(b),338254
28,인천광역시,20210426,1,월요일,3,외국인(c),3179.855842
29,광주광역시,20210426,1,월요일,1,현지인(a),754551
29,광주광역시,20210426,1,월요일,2,외지인(b),137508
29,광주광역시,20210426,1,월요일,3,외국인(c),179.9835821
30,대전광역시,20210426,1,월요일,1,현지인(a),695975
30,대전광역시,20210426,1,월요일,2,외지인(b),164027.5
30,대전광역시,20210426,1,월요일,3,외국인(c),187.8342888
31,울산광역시,20210426,1,월요일,1,현지인(a),473858
31,울산광역시,20210426,1,월요일,2,외지인(b),103663
31,울산광역시,20210426,1,월요일,3,외국인(c),1078.290979
36,세종특별자치시,20210426,1,월요일,1,현지인(a),141102.5
36,세종특별자치시,20210426,1,월요일,2,외지인(b),63546
36,세종특별자치시,20210426,1,월요일,3,외국인(c),62.6030137
41,경기도,20210426,1,월요일,1,현지인(a),5870917.5
41,경기도,20210426,1,월요일,2,외지인(b),1434279
41,경기도,20210426,1,월요일,3,외국인(c),6391.21134
42,강원도,20210426,1,월요일,1,현지인(a),973805
42,강원도,20210426,1,월요일,2,외지인(b),295379
42,강원도,20210426,1,월요일,3,외국인(c),268.3894972
43,충청북도,20210426,1,월요일,1,현지인(a),752475.5
43,충청북도,20210426,1,월요일,2,외지인(b),230895
43,충청북도,20210426,1,월요일,3,외국인(c),445.7335201
44,충청남도,20210426,1,월요일,1,현지인(a),1024026.5
44,충청남도,20210426,1,월요일,2,외지인(b),336637
44,충청남도,20210426,1,월요일,3,외국인(c),588.776815
45,전라북도,20210426,1,월요일,1,현지인(a),982758
45,전라북도,20210426,1,월요일,2,외지인(b),187127.5
45,전라북도,20210426,1,월요일,3,외국인(c),352.9236706
46,전라남도,20210426,1,월요일,1,현지인(a),914459
46,전라남도,20210426,1,월요일,2,외지인(b),263221
